service_id,labor_id,labor_type,labor_name,labor_category,schedule_date,shop,alfred,labor_start_date,labor_end_date,address_id,address_point,address_name,start_address_id,start_address_point,end_address_id,end_address_point,city,state_service
225457,319315.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-01-08 10:00:00-05:00,,10491.0,2026-01-08 09:18:00-05:00,2026-01-08 10:48:00-05:00,16770.0,POINT (-75.5948708 6.222133500000001),casa,123732.0,POINT (-75.57742050000002 6.1633384),4852.0,POINT (-75.56991479999999 6.2276503),1,COMPLETED
225964,319872.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-01-08 13:00:00-05:00,,2036.0,2026-01-08 12:02:00-05:00,2026-01-08 13:46:00-05:00,55748.0,POINT (-75.55748439999999 6.252939599999999),Apartamento,130351.0,POINT (-75.56342339999999 6.1909383),4852.0,POINT (-75.56991479999999 6.2276503),1,COMPLETED
226534,320473.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-01-08 13:00:00-05:00,,20111.0,2026-01-08 12:25:00-05:00,2026-01-08 14:08:00-05:00,25905.0,POINT (-75.594906 6.190818699999999),Apto,130438.0,POINT (-75.5520973 6.202223299999999),4852.0,POINT (-75.56991479999999 6.2276503),1,COMPLETED
226535,320474.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-01-08 16:30:00-05:00,,70424.0,2026-01-08 15:35:00-05:00,2026-01-08 17:21:00-05:00,126965.0,POINT (-75.560277 6.340593500000001),Casa,4852.0,POINT (-75.56991479999999 6.2276503),130438.0,POINT (-75.5520973 6.202223299999999),1,COMPLETED
226655,320621.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-01-08 08:00:00-05:00,,2036.0,2026-01-08 07:00:00-05:00,2026-01-08 08:53:00-05:00,55748.0,POINT (-75.55748439999999 6.252939599999999),Apartamento,111980.0,POINT (-75.5724749 6.2026219),102162.0,POINT (-75.564082 6.2082589),1,COMPLETED
227000,320974.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-01-08 09:30:00-05:00,,20111.0,2026-01-08 08:33:00-05:00,2026-01-08 10:45:00-05:00,25905.0,POINT (-75.594906 6.190818699999999),Apto,130555.0,POINT (-75.607089 6.254021),130556.0,POINT (-75.57566829999999 6.2153768),1,COMPLETED
227001,320975.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-01-08 16:30:00-05:00,,10491.0,2026-01-08 15:43:00-05:00,2026-01-08 17:18:00-05:00,16770.0,POINT (-75.5948708 6.222133500000001),casa,130556.0,POINT (-75.57566829999999 6.2153768),130555.0,POINT (-75.607089 6.254021),1,COMPLETED
227060,321041.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-01-08 08:00:00-05:00,,9258.0,2026-01-08 07:05:00-05:00,2026-01-08 08:56:00-05:00,14667.0,POINT (-75.5504277 6.280507099999999),Casa,130587.0,POINT (-75.57849 6.25386),102162.0,POINT (-75.564082 6.2082589),1,COMPLETED
227128,321127.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-01-08 08:00:00-05:00,,10491.0,2026-01-08 07:00:00-05:00,2026-01-08 09:17:00-05:00,16770.0,POINT (-75.5948708 6.222133500000001),casa,109709.0,POINT (-75.6054801 6.2710785),67814.0,POINT (-75.5856104 6.183108199999999),1,COMPLETED
227154,321163.0,12.0,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-01-08 09:30:00-05:00,,70424.0,2026-01-08 08:46:00-05:00,2026-01-08 09:35:00-05:00,126965.0,POINT (-75.560277 6.340593500000001),Casa,114936.0,POINT (-75.56507409999999 6.2174466),5038.0,POINT (-75.57009649999999 6.224776299999999),1,COMPLETED
