driver_id,latitud,longitud,start_time,end_time,city_id,city_name,department_code,department_name,location_resolution_status
2036,4.6139142,-74.18195709999999,08:00:00,20:00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved
69861,4.624224,-74.18022189999999,07:00:00,16:00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved
211,4.7271318,-74.0877144,07:00:00,17:00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved
719,4.6118768,-74.1474839,07:00:00,17:00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved
3214,4.7362323,-74.0502413,07:00:00,17:00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved
2331,4.5898388,-74.2240796,07:00:00,17:00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved
68168,4.7648946,-74.0293686,08:00:00,20:00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved
10500,4.7485876,-74.118284,08:00:00,20:00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved
11988,4.9203296,-74.0286017,08:00:00,20:00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved
10451,4.6664181,-74.0202608,07:00:00,17:00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved
11714,4.564346899999999,-74.2377623,08:00:00,20:00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved
